Type;NAME;ICB INDUSTRY CODE;ICB INDUSTRY NAME;ICB SECTOR CODE;ICB SECTOR NAME;ICB SUBSECTOR CODE;ICB SUBSECTOR NAME
541798;IDEX;50;Industrials;502020;Electronic and Electrical Equipment;50202020;Electronic Equipment: Control and Filter
905052;ILLINOIS TOOL WORKS;50;Industrials;502030;General Industrials;50203000;Diversified Industrials
328184;INTUIT;10;Technology;101010;Software and Computer Services;10101015;Software
545098;IDEXX LABORATORIES;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
922726;INTEL;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
905050;INTL.FLAVORS & FRAG.;55;Basic Materials;552010;Chemicals;55201020;Specialty Chemicals
904069;INTERNATIONAL PAPER;55;Basic Materials;551010;Industrial Materials;55101015;Paper
923465;INTERPUBLIC GROUP;40;Consumer Discretionary;403010;Media;40301020;Media Agencies
912142;JACOBS ENGR.;50;Industrials;501010;Construction and Materials;50101015;Engineering and Contracting Services
701667;JACK HENRY AND ASSOCIATES;50;Industrials;502050;Industrial Support Services;50205015;Transaction Processing Services
357049;INCYTE;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103010;Biotechnology
912212;JOHNSON & JOHNSON;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
867871;HARTFORD FINL.SVS.GP.;30;Financials;303020;Non-life Insurance;30302010;Full Line Insurance
993062;KLA;10;Technology;101020;Technology Hardware and Equipment;10102020;Production Technology Equipment
271980;DEVON ENERGY;60;Energy;601010;Oil, Gas and Coal;60101010;Oil: Crude Producers
905922;KELLOGG;45;Consumer Staples;451020;Food Producers;45102020;Food Products
916130;KEYCORP;30;Financials;301010;Banks;30101010;Banks
546169;KIMCO REALTY;35;Real Estate;351020;Real Estate Investment Trusts;35102045;Retail REITs
902354;KIMBERLY-CLARK;45;Consumer Staples;452010;Personal Care, Drug and Grocery Stores;45201020;Personal Products
274794;BLACKROCK;30;Financials;302020;Investment Banking and Brokerage Services;30202010;Asset Managers and Custodians
325849;KOHL'S;40;Consumer Discretionary;404010;Retailers;40401020;Apparel Retailers
912134;KROGER;45;Consumer Staples;452010;Personal Care, Drug and Grocery Stores;45201010;Food Retailers and Wholesalers
946387;LAM RESEARCH;10;Technology;101020;Technology Hardware and Equipment;10102020;Production Technology Equipment
277669;TELEDYNE TECHS.;50;Industrials;502010;Aerospace and Defense;50201010;Aerospace
277189;PACKAGING CORP.OF AM.;50;Industrials;502030;General Industrials;50203030;Containers and Packaging
277355;AKAMAI TECHS.;10;Technology;101010;Software and Computer Services;10101020;Consumer Digital Services
906487;LEGGETT&PLATT;40;Consumer Discretionary;402020;Household Goods and Home Construction;40202015;Household Furnishings
912219;LENNAR 'A';40;Consumer Discretionary;402020;Household Goods and Home Construction;40202010;Home Construction
921290;ELI LILLY;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
912402;LINCOLN NATIONAL;30;Financials;303010;Life Insurance;30301010;Life Insurance
277487;UNITED PARCEL SER.'B';50;Industrials;502060;Industrial Transportation;50206040;Delivery Services
277642;AGILENT TECHS.;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
154423;LOCKHEED MARTIN;50;Industrials;502010;Aerospace and Defense;50201020;Defense
922418;LOEWS;30;Financials;303020;Non-life Insurance;30302025;Property and Casualty Insurance
755695;CARNIVAL;40;Consumer Discretionary;405010;Travel and Leisure;40501015;Travel and Tourism
905620;LOWE'S COMPANIES;40;Consumer Discretionary;404010;Retailers;40401025;Home Improvement Retailers
944314;DOMINION ENERGY;65;Utilities;651010;Electricity;65101015;Conventional Electricity
516007;MGM RESORTS INTL.;40;Consumer Discretionary;405010;Travel and Leisure;40501020;Casinos and Gambling
510493;MCCORMICK & COMPANY NV.;45;Consumer Staples;451020;Food Producers;45102020;Food Products
921910;MCDONALDS;40;Consumer Discretionary;405010;Travel and Leisure;40501040;Restaurants and Bars
311759;EVEREST RE GP.;30;Financials;303020;Non-life Insurance;30302020;Reinsurance
286558;EDWARDS LIFESCIENCES;20;Health Care;201020;Medical Equipment and Services;20102015;Medical Supplies
912588;HOST HOTELS & RESORTS;35;Real Estate;351020;Real Estate Investment Trusts;35102015;Hotel and Lodging REITs
904780;MARSH & MCLENNAN;30;Financials;303020;Non-life Insurance;30302015;Insurance Brokers
905624;MASCO;50;Industrials;501010;Construction and Materials;50101035;Building Materials: Other
130062;MARTIN MRTA.MATS.;50;Industrials;501010;Construction and Materials;50101035;Building Materials: Other
286738;METLIFE;30;Financials;303010;Life Insurance;30301010;Life Insurance
771830;MAXIM INTEGRATED PRDS.;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
312367;ACTIVISION BLIZZARD;40;Consumer Discretionary;402030;Leisure Goods;40203040;Electronic Entertainment
912635;CVS HEALTH;45;Consumer Staples;452010;Personal Care, Drug and Grocery Stores;45201015;Drug Retailers
152533;LABORATORY CORP.OF AM. HDG.;20;Health Care;201020;Medical Equipment and Services;20102020;Medical Services
719643;MICROSOFT;10;Technology;101010;Software and Computer Services;10101015;Software
999506;MICRON TECHNOLOGY;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
360659;MID-AMER.APT COMMUNITIES;35;Real Estate;351020;Real Estate Investment Trusts;35102040;Residential REITs
328228;MICROCHIP TECH.;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
902172;3M;50;Industrials;502030;General Industrials;50203000;Diversified Industrials
325475;MOHAWK INDUSTRIES;40;Consumer Discretionary;402020;Household Goods and Home Construction;40202015;Household Furnishings
905900;KANSAS CITY SOUTHERN;50;Industrials;502060;Industrial Transportation;50206020;Railroads
298957;ILLUMINA;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
905010;XCEL ENERGY;65;Utilities;651010;Electricity;65101015;Conventional Electricity
902230;FORD MOTOR;40;Consumer Discretionary;401010;Automobiles and Parts;40101020;Automobiles
884383;NATIONAL OILWELL VARCO;60;Energy;601010;Oil, Gas and Coal;60101030;Oil Equipment and Services
867422;NETAPP;10;Technology;101020;Technology Hardware and Equipment;10102030;Computer Hardware
906933;NEWELL BRANDS (XSC);40;Consumer Discretionary;402020;Household Goods and Home Construction;40202025;Household Equipment and Products
912160;NEWMONT;55;Basic Materials;551030;Precious Metals and Mining;55103025;Gold Mining
324981;NVR;40;Consumer Discretionary;402020;Household Goods and Home Construction;40202010;Home Construction
993249;NIKE 'B';40;Consumer Discretionary;402040;Personal Goods;40204025;Footwear
906557;NOBLE ENERGY;60;Energy;601010;Oil, Gas and Coal;60101010;Oil: Crude Producers
901899;NORFOLK SOUTHERN;50;Industrials;502060;Industrial Transportation;50206020;Railroads
906176;NISOURCE;65;Utilities;651020;Gas, Water and Multi-utilities;65102020;Gas Distribution
905861;NORTHERN TRUST;30;Financials;302020;Investment Banking and Brokerage Services;30202010;Asset Managers and Custodians
905809;NORTHROP GRUMMAN;50;Industrials;502010;Aerospace and Defense;50201020;Defense
906195;WELLS FARGO & CO;30;Financials;301010;Banks;30101010;Banks
921482;NUCOR;55;Basic Materials;551020;Industrial Metals and Mining;55102010;Iron and Steel
134843;CAPITAL ONE FINL.;50;Industrials;502050;Industrial Support Services;50205015;Transaction Processing Services
905102;OCCIDENTAL PTL.;60;Energy;601010;Oil, Gas and Coal;60101010;Oil: Crude Producers
545918;OLD DOMINION FGT.LINES;50;Industrials;502060;Industrial Transportation;50206010;Trucking
719618;ORACLE;10;Technology;101010;Software and Computer Services;10101015;Software
921757;PACCAR;50;Industrials;502060;Industrial Transportation;50206015;Commercial Vehicles and Parts
902317;EXELON;65;Utilities;651010;Electricity;65101015;Conventional Electricity
905150;PARKER-HANNIFIN;50;Industrials;502030;General Industrials;50203000;Diversified Industrials
945297;PAYCHEX;50;Industrials;502050;Industrial Support Services;50205020;Professional Business Support Services
13466Q;ALIGN TECHNOLOGY;20;Health Care;201020;Medical Equipment and Services;20102015;Medical Supplies
902107;PPL;65;Utilities;651010;Electricity;65101015;Conventional Electricity
905677;PEPSICO;45;Consumer Staples;451010;Beverages;45101020;Soft Drinks
904030;PFIZER;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
901666;CONOCOPHILLIPS;60;Energy;601010;Oil, Gas and Coal;60101010;Oil: Crude Producers
895705;PIONEER NTRL.RES.;60;Energy;601010;Oil, Gas and Coal;60101010;Oil: Crude Producers
904853;ALTRIA GROUP;45;Consumer Staples;451030;Tobacco;45103010;Tobacco
944175;PNC FINL.SVS.GP.;30;Financials;301010;Banks;30101010;Banks
901897;PPG INDUSTRIES;50;Industrials;502030;General Industrials;50203010;Paints and Coatings
41103J;IPG PHOTONICS;10;Technology;101020;Technology Hardware and Equipment;10102020;Production Technology Equipment
312385;COSTCO WHOLESALE;40;Consumer Discretionary;404010;Retailers;40401010;Diversified Retailers
729104;T ROWE PRICE GROUP;30;Financials;302020;Investment Banking and Brokerage Services;30202010;Asset Managers and Custodians
877181;QUEST DIAGNOSTICS;20;Health Care;201020;Medical Equipment and Services;20102020;Medical Services
912228;PROCTER & GAMBLE;45;Consumer Staples;452010;Personal Care, Drug and Grocery Stores;45201020;Personal Products
936324;PROGRESSIVE OHIO;30;Financials;303020;Non-life Insurance;30302025;Property and Casualty Insurance
902321;PUB.SER.ENTER.GP.;65;Utilities;651010;Electricity;65101015;Conventional Electricity
912518;PULTEGROUP;40;Consumer Discretionary;402020;Household Goods and Home Construction;40202010;Home Construction
13471D;GLOBAL PAYMENTS;50;Industrials;502050;Industrial Support Services;50205015;Transaction Processing Services
546370;QUALCOMM;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
777844;RAYMOND JAMES FINL.;30;Financials;302020;Investment Banking and Brokerage Services;30202015;Investment Services
134057;REALTY INCOME;35;Real Estate;351020;Real Estate Investment Trusts;35102045;Retail REITs
312451;REGENCY CENTERS;35;Real Estate;351020;Real Estate Investment Trusts;35102045;Retail REITs
992656;UDR;35;Real Estate;351020;Real Estate Investment Trusts;35102040;Residential REITs
544623;REGENERON PHARMS.;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103010;Biotechnology
141405;RESMED;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
951046;US BANCORP;30;Financials;301010;Banks;30101010;Banks
702365;ROSS STORES;40;Consumer Discretionary;404010;Retailers;40401020;Apparel Retailers
905652;ROLLINS;40;Consumer Discretionary;402010;Consumer Services;40201070;Consumer Services: Misc.
546965;ROPER TECHNOLOGIES;10;Technology;101010;Software and Computer Services;10101015;Software
902233;ROCKWELL AUTOMATION;50;Industrials;502020;Electronic and Electrical Equipment;50202020;Electronic Equipment: Control and Filter
322549;ROYAL CARIBBEAN CRUISES;40;Consumer Discretionary;405010;Travel and Leisure;40501015;Travel and Tourism
933974;TRAVELERS COS.;30;Financials;303020;Non-life Insurance;30302025;Property and Casualty Insurance
14015T;FIDELITY NAT.INFO.SVS.;50;Industrials;502050;Industrial Support Services;50205015;Transaction Processing Services
905019;MERCK & COMPANY;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
912090;SCHLUMBERGER;60;Energy;601010;Oil, Gas and Coal;60101030;Oil Equipment and Services
755741;CHARLES SCHWAB;30;Financials;302020;Investment Banking and Brokerage Services;30202015;Investment Services
14361V;ZIMMER BIOMET HDG.;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
154680;AMERISOURCEBERGEN;45;Consumer Staples;452010;Personal Care, Drug and Grocery Stores;45201015;Drug Retailers
14698C;PRINCIPAL FINL.GP.;30;Financials;303010;Life Insurance;30301010;Life Insurance
905361;SHERWIN-WILLIAMS;50;Industrials;502030;General Industrials;50203010;Paints and Coatings
14863U;CENTENE;20;Health Care;201010;Health Care Providers;20101020;Health Care Management Services
518628;SVB FINANCIAL GROUP;30;Financials;301010;Banks;30101010;Banks
357834;SIMON PROPERTY GROUP;35;Real Estate;351020;Real Estate Investment Trusts;35102045;Retail REITs
944987;SMITH (AO);50;Industrials;501010;Construction and Materials;50101025;Building: Climate Control
906400;SNAP-ON;50;Industrials;502040;Industrial Engineering;50204040;Machinery: Tools
14861V;PRUDENTIAL FINL.;30;Financials;303010;Life Insurance;30301010;Life Insurance
14806F;ADV.AUTO PARTS;40;Consumer Discretionary;404010;Retailers;40401030;Specialty Retailers
